"","Data","Isol"
"12",2020-02-26,0.36
"13",2020-02-27,0.33
"14",2020-02-28,0.33
"15",2020-02-29,0.35
"1",2020-03-01,0.39
"2",2020-03-02,0.34
"3",2020-03-03,0.33
"4",2020-03-04,0.33
"5",2020-03-05,0.32
"6",2020-03-06,0.32
"7",2020-03-07,0.35
"8",2020-03-08,0.38
"9",2020-03-09,0.33
"10",2020-03-10,0.33
"11",2020-03-11,0.33
"16",2020-03-12,0.27
"17",2020-03-13,0.3
"18",2020-03-17,0.38
"19",2020-03-18,0.4
"20",2020-03-19,0.43
"21",2020-03-20,0.44
"22",2020-03-21,0.57
"23",2020-03-22,0.57
"24",2020-03-23,0.52
"25",2020-03-24,0.54
"26",2020-03-25,0.55
"27",2020-03-26,0.54
"28",2020-03-27,0.54
"29",2020-03-28,0.57
"30",2020-03-29,0.59
"31",2020-03-30,0.55
"32",2020-03-31,0.55
"33",2020-04-01,0.54
"34",2020-04-02,0.54
"35",2020-04-03,0.53
"36",2020-04-04,0.58
"37",2020-04-05,0.59
"38",2020-04-06,0.51
"39",2020-04-07,0.5
"40",2020-04-08,0.5
"41",2020-04-09,0.46
"42",2020-04-10,0.56
"43",2020-04-11,0.54
"44",2020-04-12,0.57
"45",2020-04-13,0.48
"46",2020-04-14,0.48
"47",2020-04-15,0.48
"48",2020-04-16,0.47
"49",2020-04-17,0.46
"50",2020-04-18,0.52
"51",2020-04-19,0.58
"52",2020-04-20,0.49
"53",2020-04-21,0.56
"54",2020-04-22,0.46
"55",2020-04-23,0.46
"56",2020-04-24,0.46
"57",2020-04-25,0.52
"58",2020-04-26,0.57
"59",2020-04-27,0.46
"60",2020-04-28,0.46
"61",2020-04-29,0.45
"62",2020-04-30,0.44
"63",2020-05-01,0.54
"64",2020-05-02,0.51
"65",2020-05-03,0.57
"66",2020-05-04,0.45
"67",2020-05-05,0.45
"68",2020-05-06,0.45
"69",2020-05-07,0.44
"70",2020-05-08,0.43
"71",2020-05-09,0.49
"72",2020-05-10,0.52
"73",2020-05-11,0.45
"74",2020-05-12,0.45
"75",2020-05-13,0.44
"76",2020-05-14,0.45
"77",2020-05-15,0.43
"78",2020-05-16,0.5
"79",2020-05-17,0.54
"80",2020-05-18,0.48
"81",2020-05-19,0.47
"82",2020-05-20,0.47
"83",2020-05-21,0.47
"84",2020-05-22,0.47
"85",2020-05-23,0.5
"86",2020-05-24,0.54
"87",2020-05-25,0.48
"88",2020-05-26,0.46
"89",2020-05-27,0.49
"90",2020-05-28,0.47
"91",2020-05-29,0.46
"92",2020-05-30,0.51
"93",2020-05-31,0.54
"94",2020-06-01,0.46
"95",2020-06-02,0.47
"96",2020-06-03,0.46
"97",2020-06-04,0.47
"98",2020-06-05,0.46
"99",2020-06-06,0.49
"100",2020-06-07,0.52
"101",2020-06-08,0.46
"102",2020-06-09,0.46
"103",2020-06-10,0.46
"104",2020-06-11,0.47
"105",2020-06-12,0.45
"106",2020-06-13,0.48
"107",2020-06-14,0.52
"108",2020-06-15,0.46
"109",2020-06-16,0.46
"110",2020-06-17,0.46
"111",2020-06-18,0.44
"112",2020-06-19,0.45
"113",2020-06-20,0.48
"114",2020-06-21,0.52
"115",2020-06-22,0.46
"116",2020-06-23,0.46
"117",2020-06-24,0.46
"118",2020-06-25,0.45
"119",2020-06-26,0.45
"120",2020-06-27,0.49
"121",2020-06-28,0.52
"122",2020-06-29,0.46
"123",2020-06-30,0.46
"124",2020-07-01,0.45
"125",2020-07-02,0.45
"126",2020-07-03,0.45
"127",2020-07-04,0.47
"128",2020-07-05,0.52
"129",2020-07-06,0.45
"130",2020-07-07,0.45
"131",2020-07-08,0.45
"132",2020-07-09,0.46
