Município1;UF1;Data;DATA_DIA;DIA;STR_DATA;Escala de cor;Número de registros;Índice De Isolamento
CAMPINAS;SP;domingo, 01/03;Sunday;Domingo;Ranking dos municípios (1/3/2020);Até 40%;1;39%
CAMPINAS;SP;segunda-feira, 02/03;Monday;Segunda-feira;Ranking dos municípios (2/3/2020);Até 40%;1;34%
CAMPINAS;SP;terça-feira, 03/03;Tuesday;Terça-feira;Ranking dos municípios (3/3/2020);Até 40%;1;33%
CAMPINAS;SP;quarta-feira, 04/03;Wednesday;Quarta-feira;Ranking dos municípios (4/3/2020);Até 40%;1;33%
CAMPINAS;SP;quinta-feira, 05/03;Thursday;Quinta-feira;Ranking dos municípios (5/3/2020);Até 40%;1;32%
CAMPINAS;SP;sexta-feira, 06/03;Friday;Sexta-feira;Ranking dos municípios (6/3/2020);Até 40%;1;32%
CAMPINAS;SP;sábado, 07/03;Saturday;Sábado;Ranking dos municípios (7/3/2020);Até 40%;1;35%
CAMPINAS;SP;domingo, 08/03;Sunday;Domingo;Ranking dos municípios (8/3/2020);Até 40%;1;38%
CAMPINAS;SP;segunda-feira, 09/03;Monday;Segunda-feira;Ranking dos municípios (9/3/2020);Até 40%;1;33%
CAMPINAS;SP;terça-feira, 10/03;Tuesday;Terça-feira;Ranking dos municípios (10/3/2020);Até 40%;1;33%
CAMPINAS;SP;quarta-feira, 11/03;Wednesday;Quarta-feira;Ranking dos municípios (11/3/2020);Até 40%;1;33%
CAMPINAS;SP;quarta-feira, 26/02;Wednesday;Quarta-feira;Ranking dos municípios (26/2/2020);Até 40%;1;36%
CAMPINAS;SP;quinta-feira, 27/02;Thursday;Quinta-feira;Ranking dos municípios (27/2/2020);Até 40%;1;33%
CAMPINAS;SP;sexta-feira, 28/02;Friday;Sexta-feira;Ranking dos municípios (28/2/2020);Até 40%;1;33%
CAMPINAS;SP;sábado, 29/02;Saturday;Sábado;Ranking dos municípios (29/2/2020);Até 40%;1;35%
CAMPINAS;SP;quinta-feira, 12/03;Thursday;Quinta-feira;Ranking dos municípios (12/3/2020);Até 40%;1;27%
CAMPINAS;SP;sexta-feira, 13/03;Friday;Sexta-feira;Ranking dos municípios (13/3/2020);Até 40%;1;30%
CAMPINAS;SP;terça-feira, 17/03;Tuesday;Terça-feira;Ranking dos municípios (17/3/2020);Até 40%;1;38%
CAMPINAS;SP;quarta-feira, 18/03;Wednesday;Quarta-feira;Ranking dos municípios (18/3/2020);>40-50%;1;40%
CAMPINAS;SP;quinta-feira, 19/03;Thursday;Quinta-feira;Ranking dos municípios (19/3/2020);>40-50%;1;43%
CAMPINAS;SP;sexta-feira, 20/03;Friday;Sexta-feira;Ranking dos municípios (20/3/2020);>40-50%;1;44%
CAMPINAS;SP;sábado, 21/03;Saturday;Sábado;Ranking dos municípios (21/3/2020);>50-60%;1;57%
CAMPINAS;SP;domingo, 22/03;Sunday;Domingo;Ranking dos municípios (22/3/2020);>50-60%;1;57%
CAMPINAS;SP;segunda-feira, 23/03;Monday;Segunda-feira;Ranking dos municípios (23/3/2020);>50-60%;1;52%
CAMPINAS;SP;terça-feira, 24/03;Tuesday;Terça-feira;Ranking dos municípios (24/3/2020);>50-60%;1;54%
CAMPINAS;SP;quarta-feira, 25/03;Wednesday;Quarta-feira;Ranking dos municípios (25/3/2020);>50-60%;1;55%
CAMPINAS;SP;quinta-feira, 26/03;Thursday;Quinta-feira;Ranking dos municípios (26/3/2020);>50-60%;1;54%
