"","datahora","casos","obitos","pop"
"543","2020-02-25",0,0,428703
"1188","2020-02-26",0,0,428703
"1833","2020-02-27",0,0,428703
"2478","2020-02-28",0,0,428703
"3123","2020-02-29",0,0,428703
"3768","2020-03-01",0,0,428703
"4413","2020-03-02",0,0,428703
"5058","2020-03-03",0,0,428703
"5703","2020-03-04",0,0,428703
"6348","2020-03-05",0,0,428703
"6993","2020-03-06",0,0,428703
"7638","2020-03-07",0,0,428703
"8283","2020-03-08",0,0,428703
"8928","2020-03-09",0,0,428703
"9573","2020-03-10",0,0,428703
"10218","2020-03-11",0,0,428703
"10863","2020-03-12",0,0,428703
"11508","2020-03-13",0,0,428703
"12153","2020-03-14",0,0,428703
"12798","2020-03-15",0,0,428703
"13443","2020-03-16",0,0,428703
"14088","2020-03-17",0,0,428703
"14733","2020-03-18",0,0,428703
"15378","2020-03-19",0,0,428703
"16023","2020-03-20",0,0,428703
"16668","2020-03-21",0,0,428703
"17313","2020-03-22",0,0,428703
"17958","2020-03-23",0,0,428703
"18603","2020-03-24",0,0,428703
"19248","2020-03-25",0,0,428703
"19893","2020-03-26",0,0,428703
"20538","2020-03-27",0,0,428703
"21183","2020-03-28",0,0,428703
"21828","2020-03-29",0,0,428703
"22473","2020-03-30",1,0,428703
"23118","2020-03-31",14,0,428703
"23763","2020-04-01",23,0,428703
"24408","2020-04-02",37,0,428703
"25053","2020-04-03",55,0,428703
"25698","2020-04-04",66,2,428703
"26343","2020-04-05",72,2,428703
"26988","2020-04-06",75,2,428703
"27633","2020-04-07",87,2,428703
"28278","2020-04-08",109,3,428703
"28923","2020-04-09",130,4,428703
"29568","2020-04-10",144,5,428703
"30213","2020-04-11",146,6,428703
"30858","2020-04-12",166,6,428703
"31503","2020-04-13",167,6,428703
"32148","2020-04-14",171,6,428703
"32793","2020-04-15",216,12,428703
"33438","2020-04-16",247,15,428703
"34083","2020-04-17",276,19,428703
"34728","2020-04-18",287,19,428703
"35373","2020-04-19",293,19,428703
"36018","2020-04-20",310,19,428703
"36663","2020-04-21",322,19,428703
"37308","2020-04-22",323,19,428703
"37953","2020-04-23",332,19,428703
"38598","2020-04-24",367,19,428703
"39243","2020-04-25",419,25,428703
"39888","2020-04-26",426,25,428703
"40533","2020-04-27",463,27,428703
"41178","2020-04-28",495,41,428703
"41823","2020-04-29",534,46,428703
"42468","2020-04-30",567,47,428703
"43113","2020-05-01",600,47,428703
"43758","2020-05-02",606,47,428703
"44403","2020-05-03",609,47,428703
"45048","2020-05-04",609,47,428703
"45693","2020-05-05",645,55,428703
"46338","2020-05-06",805,57,428703
"46983","2020-05-07",876,57,428703
"47628","2020-05-08",893,62,428703
"48273","2020-05-09",926,66,428703
"48918","2020-05-10",958,66,428703
"49563","2020-05-11",965,66,428703
"50208","2020-05-12",1000,67,428703
"50853","2020-05-13",1069,69,428703
"51498","2020-05-14",1147,73,428703
"52143","2020-05-15",1251,79,428703
"52788","2020-05-16",1323,81,428703
"53433","2020-05-17",1397,86,428703
"54078","2020-05-18",1413,86,428703
"54723","2020-05-19",1464,93,428703
"55368","2020-05-20",1613,97,428703
"56013","2020-05-21",1734,98,428703
"56658","2020-05-22",1912,101,428703
"57303","2020-05-23",2073,105,428703
"57948","2020-05-24",2186,107,428703
"58593","2020-05-25",2408,107,428703
"59238","2020-05-26",2605,112,428703
"59883","2020-05-27",2742,117,428703
"60528","2020-05-28",2940,131,428703
"61173","2020-05-29",3127,134,428703
"61818","2020-05-30",3330,145,428703
"62463","2020-05-31",3462,148,428703
"63108","2020-06-01",3478,148,428703
"63753","2020-06-02",3723,155,428703
"64398","2020-06-03",3949,163,428703
