"","Data","Isol"
"374",2020-02-26,0.34
"375",2020-02-27,0.32
"376",2020-02-28,0.31
"377",2020-02-29,0.33
"378",2020-03-01,0.37
"379",2020-03-02,0.32
"380",2020-03-03,0.34
"381",2020-03-04,0.32
"382",2020-03-05,0.31
"383",2020-03-06,0.3
"384",2020-03-07,0.32
"385",2020-03-08,0.34
"386",2020-03-09,0.31
"387",2020-03-10,0.32
"388",2020-03-11,0.31
"389",2020-03-12,0.26
"390",2020-03-13,0.29
"391",2020-03-17,0.37
"392",2020-03-18,0.39
"393",2020-03-19,0.42
"394",2020-03-20,0.45
"395",2020-03-21,0.55
"396",2020-03-22,0.56
"397",2020-03-23,0.52
"398",2020-03-24,0.53
"399",2020-03-25,0.54
"400",2020-03-26,0.54
"401",2020-03-27,0.53
"402",2020-03-28,0.55
"403",2020-03-29,0.58
"404",2020-03-30,0.56
"405",2020-03-31,0.55
"406",2020-04-01,0.54
"407",2020-04-02,0.55
"408",2020-04-03,0.54
"409",2020-04-04,0.58
"410",2020-04-05,0.59
"411",2020-04-06,0.52
"412",2020-04-07,0.51
"413",2020-04-08,0.51
"414",2020-04-09,0.48
"415",2020-04-10,0.57
"416",2020-04-11,0.54
"417",2020-04-12,0.58
"418",2020-04-13,0.49
"419",2020-04-14,0.48
"420",2020-04-15,0.49
"421",2020-04-16,0.49
"422",2020-04-17,0.48
"423",2020-04-18,0.54
"424",2020-04-19,0.59
"425",2020-04-20,0.5
"426",2020-04-21,0.57
"427",2020-04-22,0.47
"428",2020-04-23,0.48
"429",2020-04-24,0.47
"430",2020-04-25,0.52
"431",2020-04-26,0.58
"432",2020-04-27,0.48
"433",2020-04-28,0.47
"434",2020-04-29,0.47
"435",2020-04-30,0.46
"436",2020-05-01,0.56
"437",2020-05-02,0.54
"438",2020-05-03,0.59
"439",2020-05-04,0.47
"440",2020-05-05,0.46
"441",2020-05-06,0.46
"442",2020-05-07,0.47
"443",2020-05-08,0.45
"444",2020-05-09,0.5
"445",2020-05-10,0.54
"446",2020-05-11,0.47
"447",2020-05-12,0.46
"448",2020-05-13,0.46
"449",2020-05-14,0.47
"450",2020-05-15,0.46
"451",2020-05-16,0.48
"452",2020-05-17,0.53
"453",2020-05-18,0.47
"454",2020-05-19,0.46
"455",2020-05-20,0.46
"456",2020-05-21,0.47
"457",2020-05-22,0.46
"458",2020-05-23,0.49
"459",2020-05-24,0.53
"460",2020-05-25,0.49
"461",2020-05-26,0.44
"462",2020-05-27,0.46
"463",2020-05-28,0.45
"464",2020-05-29,0.45
"465",2020-05-30,0.5
"466",2020-05-31,0.53
"467",2020-06-01,0.46
"468",2020-06-02,0.46
"469",2020-06-03,0.45
"470",2020-06-04,0.46
"471",2020-06-05,0.45
"472",2020-06-06,0.49
"473",2020-06-07,0.53
"474",2020-06-08,0.46
"475",2020-06-09,0.45
"476",2020-06-10,0.45
"477",2020-06-11,0.49
"478",2020-06-12,0.44
"479",2020-06-13,0.47
"480",2020-06-14,0.52
"481",2020-06-15,0.46
"482",2020-06-16,0.45
"483",2020-06-17,0.44
