"","datahora","casos","obitos","pop"
"563","2020-02-25",1,0,11869660
"1208","2020-02-26",1,0,11869660
"1853","2020-02-27",1,0,11869660
"2498","2020-02-28",2,0,11869660
"3143","2020-02-29",2,0,11869660
"3788","2020-03-01",2,0,11869660
"4433","2020-03-02",2,0,11869660
"5078","2020-03-03",2,0,11869660
"5723","2020-03-04",3,0,11869660
"6368","2020-03-05",6,0,11869660
"7013","2020-03-06",6,0,11869660
"7658","2020-03-07",12,0,11869660
"8303","2020-03-08",15,0,11869660
"8948","2020-03-09",15,0,11869660
"9593","2020-03-10",18,0,11869660
"10238","2020-03-11",29,0,11869660
"10883","2020-03-12",44,0,11869660
"11528","2020-03-13",44,0,11869660
"12173","2020-03-14",62,0,11869660
"12818","2020-03-15",62,0,11869660
"13463","2020-03-16",145,0,11869660
"14108","2020-03-17",156,1,11869660
"14753","2020-03-18",214,3,11869660
"15398","2020-03-19",259,5,11869660
"16043","2020-03-20",306,9,11869660
"16688","2020-03-21",306,9,11869660
"17333","2020-03-22",306,9,11869660
"17978","2020-03-23",306,9,11869660
"18623","2020-03-24",306,9,11869660
"19268","2020-03-25",722,44,11869660
"19913","2020-03-26",899,53,11869660
"20558","2020-03-27",1044,62,11869660
"21203","2020-03-28",1044,62,11869660
"21848","2020-03-29",1044,62,11869660
"22493","2020-03-30",1233,103,11869660
"23138","2020-03-31",1885,121,11869660
"23783","2020-04-01",2418,144,11869660
"24428","2020-04-02",2815,164,11869660
"25073","2020-04-03",3202,186,11869660
"25718","2020-04-04",3496,212,11869660
"26363","2020-04-05",3612,220,11869660
"27008","2020-04-06",3754,244,11869660
"27653","2020-04-07",4258,296,11869660
"28298","2020-04-08",4947,339,11869660
"28943","2020-04-09",5477,384,11869660
"29588","2020-04-10",5982,409,11869660
"30233","2020-04-11",6131,422,11869660
"30878","2020-04-12",6352,445,11869660
"31523","2020-04-13",6418,456,11869660
"32168","2020-04-14",6705,512,11869660
"32813","2020-04-15",7764,558,11869660
"33458","2020-04-16",7908,603,11869660
"34103","2020-04-17",8744,643,11869660
"34748","2020-04-18",9428,686,11869660
"35393","2020-04-19",9668,700,11869660
"36038","2020-04-20",9815,715,11869660
"36683","2020-04-21",10342,753,11869660
"37328","2020-04-22",10691,778,11869660
"37973","2020-04-23",11225,912,11869660
"38618","2020-04-24",11800,1010,11869660
"39263","2020-04-25",13098,1099,11869660
"39908","2020-04-26",13513,1114,11869660
"40553","2020-04-27",13989,1172,11869660
"41198","2020-04-28",15397,1321,11869660
"41843","2020-04-29",16638,1439,11869660
"42488","2020-04-30",18149,1522,11869660
"43133","2020-05-01",19087,1607,11869660
"43778","2020-05-02",19494,1661,11869660
"44423","2020-05-03",19822,1673,11869660
"45068","2020-05-04",20073,1683,11869660
"45713","2020-05-05",21140,1801,11869660
"46358","2020-05-06",23187,1910,11869660
"47003","2020-05-07",24273,1986,11869660
"47648","2020-05-08",25367,2110,11869660
"48293","2020-05-09",26787,2223,11869660
"48938","2020-05-10",27307,2266,11869660
"49583","2020-05-11",27771,2281,11869660
"50228","2020-05-12",28682,2405,11869660
"50873","2020-05-13",30402,2494,11869660
"51518","2020-05-14",31873,2596,11869660
"52163","2020-05-15",33992,2674,11869660
"52808","2020-05-16",35429,2792,11869660
"53453","2020-05-17",35931,2835,11869660
"54098","2020-05-18",36188,2856,11869660
"54743","2020-05-19",37640,3029,11869660
"55388","2020-05-20",39466,3135,11869660
"56033","2020-05-21",41451,3238,11869660
"56678","2020-05-22",42973,3352,11869660
"57323","2020-05-23",44887,3491,11869660
"57968","2020-05-24",45527,3534,11869660
"58613","2020-05-25",46204,3555,11869660
"59258","2020-05-26",47554,3691,11869660
"59903","2020-05-27",49264,3826,11869660
"60548","2020-05-28",52719,3958,11869660
"61193","2020-05-29",55741,4116,11869660
"61838","2020-05-30",58619,4239,11869660
"62483","2020-05-31",60131,4280,11869660
"63128","2020-06-01",61126,4304,11869660
"63773","2020-06-02",64443,4443,11869660
"64418","2020-06-03",66777,4564,11869660
"65063","2020-06-04",69347,4675,11869660
"65708","2020-06-05",71453,4805,11869660
"66353","2020-06-06",73861,4901,11869660
"66998","2020-06-07",74796,4920,11869660
"67643","2020-06-08",75699,4937,11869660
"68288","2020-06-09",78026,5073,11869660
"68933","2020-06-10",80457,5232,11869660
"69578","2020-06-11",83076,5357,11869660
"70223","2020-06-12",85622,5480,11869660
"70868","2020-06-13",88025,5599,11869660
"71513","2020-06-14",91198,5623,11869660
"72158","2020-06-15",93448,5652,11869660
"72803","2020-06-16",97676,5819,11869660
"73448","2020-06-17",98132,5959,11869660
"74093","2020-06-18",98530,6097,11869660
"74738","2020-06-19",105407,6255,11869660
"75383","2020-06-20",105591,6371,11869660
"76028","2020-06-21",106540,6387,11869660
"76673","2020-06-22",107731,6404,11869660
"77318","2020-06-23",110214,6583,11869660
"77963","2020-06-24",113261,6675,11869660
"78608","2020-06-25",117311,6794,11869660
"79253","2020-06-26",121163,6880,11869660
"79898","2020-06-27",122759,6982,11869660
"80543","2020-06-28",124105,7003,11869660
"81188","2020-06-29",125012,7026,11869660
"81833","2020-06-30",127119,7162,11869660
"82478","2020-07-01",129328,7258,11869660
"83123","2020-07-02",134984,7370,11869660
"83768","2020-07-03",137074,7479,11869660
"84413","2020-07-04",137762,7597,11869660
"85058","2020-07-05",139871,7621,11869660
"85703","2020-07-06",140231,7634,11869660
"86348","2020-07-07",142502,7743,11869660
"86993","2020-07-08",144573,7864,11869660
"87638","2020-07-09",146739,7964,11869660
"88283","2020-07-10",149431,8089,11869660
"88928","2020-07-11",151365,8176,11869660
"89573","2020-07-12",152806,8212,11869660
"90218","2020-07-13",154013,8231,11869660
"90863","2020-07-14",158802,8336,11869660
"91508","2020-07-15",160326,8451,11869660
"92153","2020-07-16",162242,8585,11869660
"92798","2020-07-17",163624,8696,11869660
"93443","2020-07-18",165094,8770,11869660
"94088","2020-07-19",166073,8778,11869660
"94733","2020-07-20",166348,8799,11869660
"95378","2020-07-21",167801,8920,11869660
"96023","2020-07-22",171119,9025,11869660
"96668","2020-07-23",173710,9098,11869660
"97313","2020-07-24",176190,9156,11869660
"97958","2020-07-25",179115,9205,11869660
"98603","2020-07-26",179777,9222,11869660
"99248","2020-07-27",182027,9241,11869660
"99893","2020-07-28",185708,9318,11869660
"100538","2020-07-29",188827,9396,11869660
"101183","2020-07-30",193684,9470,11869660
"101828","2020-07-31",197560,9549,11869660
"102473","2020-08-01",199674,9619,11869660
"103118","2020-08-02",200444,9634,11869660
"103763","2020-08-03",200705,9644,11869660
"104408","2020-08-04",203279,9702,11869660
"105053","2020-08-05",206102,9806,11869660
"105698","2020-08-06",209559,9909,11869660
"106343","2020-08-07",211469,10012,11869660
"106988","2020-08-08",213507,10085,11869660
"107633","2020-08-09",214094,10099,11869660
"108278","2020-08-10",214329,10107,11869660
"108923","2020-08-11",217244,10221,11869660
"109568","2020-08-12",224140,10311,11869660
"110213","2020-08-13",231203,10453,11869660
"110858","2020-08-14",233987,10563,11869660
"111503","2020-08-15",235519,10592,11869660
"112148","2020-08-16",235866,10605,11869660
"112793","2020-08-17",236163,10625,11869660
"113438","2020-08-18",237934,10700,11869660
"114083","2020-08-19",240115,10761,11869660
"114728","2020-08-20",241764,10863,11869660
"115373","2020-08-21",242589,10936,11869660
"116018","2020-08-22",246492,11003,11869660
"116663","2020-08-23",247403,11023,11869660
"117308","2020-08-24",247730,11031,11869660
"117953","2020-08-25",250171,11141,11869660
"118598","2020-08-26",252063,11215,11869660
"119243","2020-08-27",254146,11278,11869660
"119888","2020-08-28",256511,11344,11869660
"120533","2020-08-29",257528,11398,11869660
"121178","2020-08-30",257778,11400,11869660
"121823","2020-08-31",257949,11408,11869660
"122468","2020-09-01",260991,11478,11869660
"123113","2020-09-02",262570,11554,11869660
"123758","2020-09-03",265066,11611,11869660
"124403","2020-09-04",266232,11666,11869660
"125048","2020-09-05",267477,11717,11869660
"125693","2020-09-06",267767,11731,11869660
"126338","2020-09-07",267926,11735,11869660
"126983","2020-09-08",268347,11740,11869660
"127628","2020-09-09",270000,11856,11869660
"128273","2020-09-10",271505,11933,11869660
"128918","2020-09-11",272857,12003,11869660
"129563","2020-09-12",274173,12048,11869660
"130208","2020-09-13",274467,12057,11869660
"130853","2020-09-14",274740,12068,11869660
"131498","2020-09-15",276241,12128,11869660
"132143","2020-09-16",277683,12213,11869660
"132788","2020-09-17",279193,12266,11869660
"133433","2020-09-18",280774,12308,11869660
"134078","2020-09-19",282217,12376,11869660
"134723","2020-09-20",282498,12380,11869660
"135368","2020-09-21",282726,12384,11869660
"136013","2020-09-22",284252,12428,11869660
"136658","2020-09-23",285475,12478,11869660
"137303","2020-09-24",286862,12504,11869660
"137948","2020-09-25",288081,12547,11869660
"138593","2020-09-26",289185,12593,11869660
"139238","2020-09-27",289308,12602,11869660
"139883","2020-09-28",289466,12605,11869660
"140528","2020-09-29",290839,12666,11869660
"141173","2020-09-30",292067,12730,11869660
"141818","2020-10-01",293210,12797,11869660
"142463","2020-10-02",294135,12840,11869660
"143108","2020-10-03",295234,12891,11869660
"143753","2020-10-04",295301,12899,11869660
"144398","2020-10-05",295425,12916,11869660
"145043","2020-10-06",296593,12962,11869660
"145688","2020-10-07",297583,13005,11869660
"146333","2020-10-08",298405,13056,11869660
"146978","2020-10-09",299277,13094,11869660
"147623","2020-10-10",300487,13124,11869660
"148268","2020-10-11",300905,13128,11869660
"148913","2020-10-12",301021,13134,11869660
"149558","2020-10-13",301209,13142,11869660
"150203","2020-10-14",302223,13196,11869660
"150848","2020-10-15",303298,13218,11869660
"151493","2020-10-16",304364,13265,11869660
"152138","2020-10-17",305379,13283,11869660
"152783","2020-10-18",305471,13290,11869660
"153428","2020-10-19",305540,13294,11869660
"154073","2020-10-20",306428,13337,11869660
"154718","2020-10-21",307230,13358,11869660
"155363","2020-10-22",308077,13376,11869660
"156008","2020-10-23",309507,13395,11869660
"156653","2020-10-24",310693,13427,11869660
"157298","2020-10-25",311116,13431,11869660
"157943","2020-10-26",311301,13432,11869660
"158588","2020-10-27",312632,13451,11869660
"159233","2020-10-28",313720,13497,11869660
"159878","2020-10-29",315009,13533,11869660
"160523","2020-10-30",316265,13581,11869660
"161168","2020-10-31",316970,13597,11869660
"161813","2020-11-01",317215,13600,11869660
"162458","2020-11-02",317346,13605,11869660
"163103","2020-11-03",317533,13606,11869660
"163748","2020-11-04",318533,13660,11869660
"164393","2020-11-05",319156,13715,11869660
"165038","2020-11-06",319156,13715,11869660
"165683","2020-11-07",319156,13715,11869660
"166328","2020-11-08",319156,13715,11869660
"166973","2020-11-09",319156,13715,11869660
"167618","2020-11-10",324462,13715,11869660
"168263","2020-11-11",325408,13767,11869660
"168908","2020-11-12",327185,13840,11869660
"169553","2020-11-13",328953,13840,11869660
"170198","2020-11-14",330266,13949,11869660
"170843","2020-11-15",330566,13952,11869660
"171488","2020-11-16",330753,13958,11869660
"172133","2020-11-17",333009,14007,11869660
"172778","2020-11-18",334733,14067,11869660
"173423","2020-11-19",336703,14101,11869660
"174068","2020-11-20",338989,14140,11869660
"174713","2020-11-21",340537,14169,11869660
"175358","2020-11-22",341035,14175,11869660
"176003","2020-11-23",341340,14179,11869660
"176648","2020-11-24",342822,14216,11869660
"177293","2020-11-25",345445,14261,11869660
"177938","2020-11-26",346655,14308,11869660
"178583","2020-11-27",347625,14340,11869660
"179228","2020-11-28",349033,14384,11869660
"179873","2020-11-29",349622,14394,11869660
"180518","2020-11-30",349912,14401,11869660
"181163","2020-12-01",352144,14470,11869660
"181808","2020-12-02",354203,14518,11869660
"182453","2020-12-03",356278,14602,11869660
"183098","2020-12-04",358390,14637,11869660
"183743","2020-12-05",360539,14693,11869660
"184388","2020-12-06",361182,14698,11869660
"185033","2020-12-07",361450,14705,11869660
"185678","2020-12-08",363495,14761,11869660
"186323","2020-12-09",365670,14805,11869660
"186968","2020-12-10",367666,14868,11869660
"187613","2020-12-11",369620,14906,11869660
"188258","2020-12-12",371468,14944,11869660
"188903","2020-12-13",371669,14968,11869660
"189548","2020-12-14",371959,14984,11869660
"190193","2020-12-15",372875,15054,11869660
"190838","2020-12-16",372875,15054,11869660
"191483","2020-12-17",377507,15175,11869660
"192128","2020-12-18",379532,15223,11869660
"192773","2020-12-19",382030,15266,11869660
"193418","2020-12-20",382030,15266,11869660
"194063","2020-12-21",382760,15280,11869660
"194708","2020-12-22",385111,15334,11869660
"195353","2020-12-23",387524,15384,11869660
"195998","2020-12-24",389822,15440,11869660
"196643","2020-12-25",390834,15449,11869660
"197288","2020-12-26",391257,15456,11869660
"197933","2020-12-27",391917,15463,11869660
"198578","2020-12-28",392401,15477,11869660
"199223","2020-12-29",395846,15541,11869660
"199868","2020-12-30",399061,15601,11869660
"200513","2020-12-31",401718,15679,11869660
"201158","2021-01-01",402835,15695,11869660
"201803","2021-01-02",403388,15716,11869660
