"","Data","Isol"
"747",2020-02-26,0.36
"748",2020-02-27,0.31
"749",2020-02-28,0.31
"750",2020-02-29,0.35
"751",2020-03-01,0.39
"752",2020-03-02,0.32
"753",2020-03-03,0.32
"754",2020-03-04,0.31
"755",2020-03-05,0.3
"756",2020-03-07,0.34
"757",2020-03-08,0.38
"758",2020-03-09,0.31
"759",2020-03-10,0.31
"760",2020-03-11,0.31
"761",2020-03-12,0.25
"762",2020-03-13,0.29
"763",2020-03-17,0.38
"764",2020-03-18,0.4
"765",2020-03-19,0.43
"766",2020-03-20,0.45
"767",2020-03-21,0.57
"768",2020-03-22,0.56
"769",2020-03-23,0.53
"770",2020-03-24,0.55
"771",2020-03-25,0.55
"772",2020-03-26,0.55
"773",2020-03-27,0.55
"774",2020-03-28,0.56
"775",2020-03-29,0.59
"776",2020-03-30,0.57
"777",2020-03-31,0.56
"778",2020-04-01,0.56
"779",2020-04-02,0.56
"780",2020-04-03,0.56
"781",2020-04-04,0.58
"782",2020-04-05,0.59
"783",2020-04-06,0.54
"784",2020-04-07,0.52
"785",2020-04-08,0.51
"786",2020-04-09,0.48
"787",2020-04-10,0.56
"788",2020-04-11,0.54
"789",2020-04-12,0.58
"790",2020-04-13,0.5
"791",2020-04-14,0.5
"792",2020-04-15,0.5
"793",2020-04-16,0.49
"794",2020-04-17,0.49
"795",2020-04-18,0.53
"796",2020-04-19,0.58
"797",2020-04-20,0.51
"798",2020-04-21,0.57
"799",2020-04-22,0.48
"800",2020-04-23,0.48
"801",2020-04-24,0.48
"802",2020-04-25,0.52
"803",2020-04-26,0.58
"804",2020-04-27,0.48
"805",2020-04-28,0.48
"806",2020-04-29,0.48
"807",2020-04-30,0.47
"808",2020-05-01,0.55
"809",2020-05-02,0.52
"810",2020-05-03,0.58
"811",2020-05-04,0.48
"812",2020-05-05,0.48
"813",2020-05-06,0.47
"814",2020-05-07,0.48
"815",2020-05-08,0.46
"816",2020-05-09,0.5
"817",2020-05-10,0.54
"818",2020-05-11,0.49
"819",2020-05-12,0.48
"820",2020-05-13,0.48
