Nome,Valor
mu,3.595e-05
gamma,0.01996527764299889
alpha,0.5154717748710703
beta1,0.10000385652268558
beta2,0.114416882290602
beta3,0.1285386344885868
i0,0.0022356433161130674
s0,0.9962353322636424
sick0,0.0015290244202445563
N,31
pvoc,"[[ 5.54504909e+05 -9.55484883e+06  1.12606755e+06 -5.87445316e+06
  -3.41609112e+04  1.14327017e+05]
 [-9.55484883e+06  1.64670555e+08 -1.94039789e+07  1.01238782e+08
   5.87415482e+05 -1.97029916e+06]
 [ 1.12606755e+06 -1.94039789e+07  2.28678400e+06 -1.19298013e+07
  -6.93612444e+04  2.32174730e+05]
 [-5.87445316e+06  1.01238782e+08 -1.19298013e+07  6.22415040e+07
   3.61284296e+05 -1.21133610e+06]
 [-3.41609112e+04  5.87415482e+05 -6.93612444e+04  3.61284296e+05
   2.16185971e+03 -7.03040485e+03]
 [ 1.14327017e+05 -1.97029916e+06  2.32174730e+05 -1.21133610e+06
  -7.03040485e+03  2.35748781e+04]]"
perr,"[  744.65086402 12832.40253391  1512.21162444  7889.32849151
    46.49580309   153.54112834]"
MSE,5.3234654328366825e-09
RMSE,7.29620821580407e-05
Mean_R,0.9943871070186528
ss_res,1.6502742841793715e-07
ss_tot,2.9401492058793934e-05
